TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),62790000.00,62050000.00,63080000.00,56200000.00,52040000.00,46080000.00,48960000.00,48820000.00,48280000.00
European Union - 28 countries (2013-2020),67180000.00,69660000.00,67480000.00,60020000.00,56690000.00,51990000.00,55010000.00,56290000.00,NaN
Belgium,2041822.00,1796909.00,1572776.00,2820172.00,2980026.00,3382031.00,3723370.00,3956126.00,4148524.00
Bulgaria,292519.00,160753.00,327051.00,115129.00,201287.00,265736.00,316594.00,333380.00,416299.00
Czechia,903621.00,638296.00,248256.00,302503.00,237816.00,197001.00,243239.00,291437.00,288168.00
Denmark,721091.00,863719.00,892056.00,304087.00,297531.00,856390.00,567909.00,696947.00,661573.00
Germany,7497376.00,8834525.00,10270534.00,10811948.00,11712778.00,11933261.00,12739432.00,12806210.00,13324306.00
Estonia,3863687.00,1790556.00,1288169.00,871299.00,816433.00,551233.00,434277.00,182251.00,133007.00
Ireland,556427.00,400883.00,147184.00,507977.00,204092.00,318421.00,296419.00,212173.00,302790.00
Greece,102176.00,745221.00,830006.00,349810.00,120974.00,91782.00,94996.00,75416.00,55045.00
Spain,2922892.00,1909186.00,1932320.00,1623798.00,1246941.00,1071744.00,1069621.00,1115862.00,994251.00
France,8106305.00,7477829.00,8681750.00,8945056.00,6051260.00,6154461.00,6749683.00,7201717.00,7702542.00
Croatia,248708.00,199174.00,195092.00,174483.00,97097.00,91069.00,92889.00,95342.00,126127.00
Italy,2739273.00,2468551.00,3448043.00,3759996.00,3847633.00,4338715.00,4486957.00,5253102.00,5105040.00
Cyprus,55380.00,32999.00,17201.00,24032.00,6205.00,3966.00,4395.00,6525.00,9263.00
Latvia,169953.00,240215.00,87267.00,86820.00,55677.00,79084.00,70356.00,56670.00,144579.00
Lithuania,189872.00,219808.00,231373.00,300265.00,181633.00,125753.00,142815.00,157081.00,151454.00
Luxembourg,107834.00,84637.00,74450.00,111181.00,87385.00,79653.00,83153.00,74859.00,76789.00
Hungary,386151.00,481890.00,335905.00,287133.00,241504.00,143445.00,159293.00,132337.00,92637.00
Malta,1029.00,1008.00,434.00,8172.00,13363.00,14601.00,10097.00,9738.00,10231.00
Netherlands,1942818.00,1944187.00,2272444.00,2568304.00,2575974.00,2576366.00,2630635.00,2711032.00,3068973.00
Austria,5499103.00,6300234.00,6231841.00,1294506.00,887657.00,1170038.00,1658305.00,1375855.00,1265171.00
Poland,2193814.00,2808033.00,3366750.00,3507510.00,3949300.00,3864365.00,2565358.00,2104833.00,1262101.00
Portugal,2661323.00,1233402.00,736218.00,373381.00,301141.00,254016.00,333295.00,400528.00,525109.00
Romania,1370928.00,1465986.00,1806053.00,2339539.00,2072320.00,2289602.00,3283624.00,2732109.00,2840933.00
Slovenia,729546.00,1154040.00,470248.00,333880.00,338655.00,275470.00,148184.00,94192.00,91169.00
Slovakia,351140.00,768482.00,629430.00,239130.00,400756.00,253735.00,414153.00,449509.00,496310.00
Finland,13449694.00,13338326.00,12477463.00,12281326.00,11940980.00,4230770.00,4738039.00,4371362.00,3135178.00
Sweden,3682042.00,4689439.00,4507626.00,1863353.00,1170837.00,1465971.00,1905525.00,1925568.00,1850463.00
Iceland,20000.00,NaN,57031.00,16972.00,16058.00,17755.00,25157.00,27179.00,48867.00
Liechtenstein,NaN,NaN,2611.00,3650.00,2084.00,794.00,1760.00,918.00,133.00
Norway,961649.00,1112513.00,1150788.00,1205702.00,1409417.00,770348.00,855518.00,802333.00,898825.00
United Kingdom,4391124.00,7607449.00,4398220.00,3816092.00,4650950.00,5910857.00,6043084.00,7467562.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,237225.00,194432.00,196578.00,220593.00,212613.00
Montenegro,NaN,NaN,NaN,NaN,9986.00,9494.00,12945.00,25934.00,18022.00
North Macedonia,NaN,NaN,2868.00,6255.00,1998.00,1420.00,179930.00,5367.00,9418.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,27129.00,53960.00,57834.00,97507.00,68244.00,73966.00
Türkiye,80759.00,24.00,137308.00,175542.00,181024.00,268208.00,338166.00,692576.00,452513.00
Kosovo*,NaN,NaN,NaN,NaN,1618.00,1280.00,1685.00,10936.00,3970.00
