TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),5140000.00,5170000.00,3640000.00,5590000.00,4850000.00,4560000.00,5180000.00,6970000.00,6180000.00
European Union - 28 countries (2013-2020),5160000.00,8050000.00,5360000.00,6960000.00,5910000.00,5530000.00,6340000.00,8230000.00,NaN
Belgium,186695.00,226935.00,327591.00,334156.00,346317.00,354461.00,368342.00,384523.00,404201.00
Bulgaria,145.00,14.00,368.00,305.00,243.00,240.00,515.00,103411.00,73022.00
Czechia,1238.00,2638.00,2253.00,3374.00,3791.00,3530.00,4133.00,174639.00,192911.00
Denmark,110368.00,49443.00,121986.00,12128.00,5546.00,14344.00,15415.00,7742.00,5849.00
Germany,496697.00,449289.00,401983.00,528752.00,486851.00,506265.00,441063.00,596745.00,456791.00
Estonia,3693.00,3710.00,7572.00,8517.00,9355.00,12450.00,12709.00,54093.00,19070.00
Ireland,14.00,0.00,6.00,44082.00,45578.00,59136.00,18014.00,66852.00,127137.00
Greece,23622.00,23625.00,58865.00,64128.00,76826.00,300.00,25.00,5779.00,1125.00
Spain,124481.00,126030.00,133706.00,108469.00,250087.00,274621.00,642514.00,784194.00,781229.00
France,1602000.00,1605970.00,1644530.00,1798585.00,1495863.00,1382077.00,1371077.00,1985805.00,1755398.00
Croatia,1802.00,2538.00,803.00,483.00,31162.00,23088.00,19237.00,30918.00,52842.00
Italy,1651900.00,1634765.00,253300.00,1705378.00,1162593.00,1095592.00,1308488.00,1423089.00,1466693.00
Cyprus,18.00,0.00,0.00,11796.00,13817.00,12790.00,10940.00,9481.00,9955.00
Latvia,111.00,5659.00,10870.00,9650.00,10098.00,9072.00,8253.00,13683.00,8793.00
Lithuania,802.00,13945.00,15670.00,16380.00,25134.00,32159.00,25281.00,27532.00,42992.00
Luxembourg,2596.00,4505.00,2803.00,4701.00,2980.00,1256.00,3606.00,4258.00,2274.00
Hungary,738.00,26879.00,29321.00,19145.00,16293.00,3378.00,10911.00,22307.00,25922.00
Malta,5832.00,3234.00,2951.00,5588.00,17294.00,4489.00,104844.00,13945.00,12760.00
Netherlands,276366.00,247683.00,210390.00,245838.00,250216.00,253275.00,218393.00,258644.00,247753.00
Austria,56141.00,60729.00,110000.00,107538.00,57090.00,53399.00,45499.00,61149.00,50940.00
Poland,1487.00,5385.00,2568.00,2602.00,51306.00,3352.00,0.00,402528.00,869.00
Portugal,12044.00,7772.00,39077.00,96242.00,87020.00,81193.00,73503.00,129054.00,0.00
Romania,NaN,17624.00,45229.00,162276.00,50732.00,38137.00,40153.00,45766.00,83782.00
Slovenia,1124.00,2744.00,3481.00,5422.00,6242.00,7046.00,6695.00,11329.00,13244.00
Slovakia,370.00,801.00,578.00,802.00,1457.00,1549.00,34822.00,38036.00,54853.00
Finland,159046.00,172585.00,6917.00,42000.00,62000.00,61955.00,118477.00,0.00,0.00
Sweden,423009.00,470953.00,210808.00,254003.00,281049.00,275333.00,279252.00,319247.00,284960.00
Iceland,0.00,NaN,0.00,0.00,0.00,0.00,41.00,0.00,0.00
Liechtenstein,NaN,NaN,33.00,9.00,0.00,1.00,0.00,0.00,0.00
Norway,0.00,100372.00,103082.00,123263.00,34846.00,227622.00,216205.00,230783.00,211666.00
United Kingdom,21822.00,2880798.00,1720242.00,1372599.00,1059846.00,968144.00,1158511.00,1259104.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,30.00,20.00,22.00,64.00,246.00
Montenegro,NaN,NaN,NaN,NaN,28.00,226.00,122.00,97.00,93.00
North Macedonia,NaN,NaN,0.00,0.00,0.00,0.00,0.00,205.00,322.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,12.00,182.00,341.00,1735.00,3297.00,2006.00
Türkiye,0.00,0.00,0.00,564.00,439.00,251.00,58.00,154.00,31.00
Kosovo*,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00
