TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),130000.00,150000.00,120000.00,80000.00,60000.00,60000.00,50000.00,70000.00,80000.00
European Union - 28 countries (2013-2020),150000.00,180000.00,290000.00,110000.00,70000.00,70000.00,70000.00,80000.00,NaN
Belgium,9150.00,4555.00,17317.00,3074.00,2190.00,3643.00,5229.00,2941.00,4199.00
Bulgaria,40.00,44.00,140.00,108.00,8796.00,441.00,410.00,76.00,344.00
Czechia,99.00,146.00,225.00,401.00,398.00,364.00,671.00,774.00,932.00
Denmark,50.00,159.00,190.00,796.00,885.00,641.00,546.00,1017.00,2010.00
Germany,18136.00,18707.00,11104.00,13432.00,11925.00,10719.00,8292.00,18102.00,17706.00
Estonia,94.00,37.00,14.00,7.00,52.00,23.00,52.00,50.00,119.00
Ireland,5647.00,1335.00,8.00,200.00,624.00,964.00,1641.00,2502.00,129.00
Greece,161.00,1660.00,1908.00,712.00,682.00,737.00,6403.00,553.00,544.00
Spain,49018.00,51402.00,51200.00,34118.00,10031.00,10172.00,7248.00,5460.00,5454.00
France,9100.00,16560.00,13050.00,9325.00,9382.00,7848.00,9165.00,6448.00,8738.00
Croatia,2131.00,1278.00,1034.00,1104.00,114.00,103.00,59.00,25.00,212.00
Italy,5259.00,10413.00,5541.00,2552.00,5774.00,7128.00,6846.00,6265.00,6449.00
Cyprus,2.00,2.00,118.00,81.00,153.00,89.00,57.00,77.00,82.00
Latvia,0.00,58.00,5.00,54.00,190.00,112.00,187.00,280.00,2470.00
Lithuania,315.00,135.00,64.00,210.00,449.00,451.00,354.00,276.00,258.00
Luxembourg,0.00,0.00,0.00,0.00,1.00,0.00,2.00,2.00,1.00
Hungary,5990.00,686.00,11262.00,405.00,407.00,528.00,331.00,410.00,1122.00
Malta,0.00,0.00,0.00,0.00,11.00,12.00,14.00,29.00,30.00
Netherlands,2588.00,2884.00,3651.00,3411.00,3335.00,3294.00,3971.00,4444.00,4865.00
Austria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Poland,320.00,237.00,332.00,1853.00,2237.00,3652.00,0.00,11841.00,20562.00
Portugal,774.00,35530.00,1137.00,634.00,959.00,321.00,253.00,249.00,211.00
Romania,411.00,234.00,2712.00,0.00,0.00,0.00,322.00,433.00,577.00
Slovenia,381.00,230.00,187.00,128.00,104.00,74.00,60.00,27.00,4.00
Slovakia,310.00,31.00,15.00,123.00,128.00,279.00,191.00,119.00,403.00
Finland,18028.00,1653.00,45.00,589.00,2517.00,1256.00,92.00,91.00,334.00
Sweden,1418.00,1646.00,1558.00,2248.00,2693.00,2861.00,2523.00,2752.00,5705.00
Iceland,37.00,NaN,0.00,0.00,0.00,43.00,43.00,102.00,72.00
Liechtenstein,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,146.00
United Kingdom,19718.00,25709.00,172096.00,29835.00,9840.00,9781.00,17433.00,18645.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,23.00,16.00,37.00,61.00,74.00
Montenegro,NaN,NaN,NaN,NaN,5.00,5.00,28.00,2.00,7.00
North Macedonia,NaN,NaN,1.00,2.00,2.00,136.00,17.00,9.00,130.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,10.00,98.00,1183.00,744.00,213.00,175.00
Türkiye,146.00,0.00,2903.00,176.00,254.00,48.00,1955.00,1758.00,272.00
Kosovo*,NaN,NaN,NaN,NaN,310.00,0.00,0.00,10.00,165.00
