TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),162160000.00,159920000.00,156340000.00,152460000.00,142350000.00,136010000.00,136040000.00,133890000.00,131700000.00
European Union - 28 countries (2013-2020),214540000.00,207670000.00,200040000.00,183570000.00,170290000.00,163930000.00,167100000.00,165750000.00,NaN
Belgium,6468087.00,5019782.00,3608476.00,3835659.00,3816888.00,4111682.00,3889517.00,4211739.00,4648980.00
Bulgaria,3782376.00,4102436.00,3746741.00,3106617.00,3110086.00,2774844.00,2440719.00,2434762.00,2517633.00
Czechia,3070774.00,3188973.00,3281224.00,3309223.00,3100293.00,2940572.00,3004605.00,3516182.00,3611085.00
Denmark,3163795.00,3140801.00,3171601.00,2805523.00,2643618.00,2505806.00,2474107.00,2466876.00,2355391.00
Germany,26077012.00,20932698.00,20806297.00,21375563.00,20955467.00,21106836.00,21363772.00,20638829.00,21318713.00
Estonia,1024403.00,654755.00,465707.00,304687.00,294189.00,306501.00,330860.00,346170.00,338587.00
Ireland,326168.00,341686.00,144848.00,3265130.00,2111426.00,1850418.00,1908774.00,2306654.00,2029214.00
Greece,4558092.00,4927140.00,5077244.00,4770638.00,4305143.00,4085632.00,4131022.00,4127886.00,4165672.00
Spain,21779735.00,23235672.00,22604041.00,21119514.00,19584291.00,18169188.00,19480579.00,19500712.00,18437687.00
France,25062130.00,25526790.00,23921420.00,22178904.00,22371457.00,21332273.00,21205307.00,21077919.00,20704561.00
Croatia,1514039.00,1320050.00,1677081.00,1516125.00,1638558.00,1342167.00,1331712.00,1320464.00,1147784.00
Italy,24994274.00,25063240.00,26189697.00,21378070.00,18421356.00,16798421.00,15391034.00,14044720.00,12170892.00
Cyprus,274298.00,252802.00,183341.00,172669.00,389558.00,350293.00,434043.00,421596.00,441258.00
Latvia,615953.00,956935.00,751917.00,562626.00,726708.00,552387.00,607864.00,429151.00,653528.00
Lithuania,1214881.00,1285962.00,1252682.00,1064522.00,1016339.00,932914.00,849843.00,827952.00,800144.00
Luxembourg,212338.00,198079.00,212188.00,209799.00,207987.00,212383.00,218442.00,227557.00,211340.00
Hungary,4608584.00,4111000.00,3494208.00,3194549.00,2897445.00,3294411.00,2922941.00,2705094.00,2673554.00
Malta,242116.00,240606.00,260796.00,218098.00,205607.00,206790.00,223524.00,245718.00,224303.00
Netherlands,7897415.00,8207787.00,7877726.00,7431864.00,7185887.00,6843915.00,6782333.00,6253618.00,6236347.00
Austria,2688000.00,2458998.00,1875717.00,3663548.00,2623817.00,2773709.00,2831357.00,2515251.00,2595954.00
Poland,7357945.00,7195170.00,6783975.00,8638333.00,8774311.00,8664017.00,9021031.00,8878722.00,9006787.00
Portugal,5140257.00,6650636.00,6830369.00,5073000.00,4516634.00,4417162.00,4568846.00,4690709.00,4703507.00
Romania,4620459.00,4151582.00,5503511.00,6493299.00,5329192.00,5081779.00,5218255.00,5023516.00,4943693.00
Slovenia,906002.00,726793.00,860908.00,776830.00,559936.00,359610.00,353882.00,354132.00,343271.00
Slovakia,368710.00,1437106.00,1533083.00,1458095.00,1381619.00,1395520.00,1413678.00,1417664.00,1364914.00
Finland,1566005.00,1930632.00,1705201.00,2030598.00,1593938.00,1432560.00,1362532.00,1519835.00,1815770.00
Sweden,2624702.00,2671259.00,2523149.00,2510784.00,2586764.00,2165423.00,2282990.00,2382541.00,2241231.00
Iceland,80825.00,NaN,75204.00,64215.00,59619.00,119996.00,127765.00,147003.00,117153.00
Liechtenstein,NaN,NaN,6392.00,8731.00,8776.00,8584.00,8268.00,8264.00,8202.00
Norway,1291979.00,1943750.00,1285912.00,986131.00,1161877.00,1023211.00,1011736.00,926382.00,958400.00
United Kingdom,52384050.00,47745148.00,43700567.00,31101594.00,28184234.00,27925093.00,31060323.00,31902011.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,14042.00,1204942.00,1153967.00,871068.00,842517.00
Montenegro,NaN,NaN,NaN,NaN,253764.00,245170.00,255325.00,267639.00,255112.00
North Macedonia,NaN,NaN,4299.00,457051.00,2962.00,5131.00,41316.00,283653.00,160310.00
Albania,NaN,NaN,NaN,NaN,NaN,1228884.00,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,21006.00,149907.00,1602117.00,1656129.00,1998244.00,2005444.00
Türkiye,29827872.00,30083289.00,25101579.00,29564564.00,30867795.00,30873097.00,32224468.00,32340538.00,32308282.00
Kosovo*,NaN,NaN,NaN,NaN,753915.00,755401.00,398571.00,452264.00,462536.00
