TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),6710000.00,7170000.00,6520000.00,5790000.00,5580000.00,5730000.00,5600000.00,5660000.00,4630000.00
European Union - 28 countries (2013-2020),7750000.00,8040000.00,7010000.00,6000000.00,5810000.00,5930000.00,5770000.00,5850000.00,NaN
Belgium,322296.00,185555.00,275789.00,246835.00,442559.00,503003.00,584671.00,624441.00,576811.00
Bulgaria,5818.00,442446.00,487149.00,455486.00,18163.00,36769.00,11117.00,4349.00,14564.00
Czechia,134140.00,123516.00,120876.00,141972.00,80825.00,77796.00,88533.00,124484.00,95374.00
Denmark,8536.00,9069.00,8726.00,11672.00,11629.00,13910.00,13452.00,15692.00,16853.00
Germany,1321761.00,1508292.00,1225698.00,1013639.00,1305934.00,1195237.00,1207961.00,1222764.00,984481.00
Estonia,31976.00,31131.00,32875.00,34151.00,43857.00,24932.00,3403.00,5520.00,3828.00
Ireland,42677.00,15550.00,6500.00,29402.00,11136.00,14643.00,19528.00,21921.00,32898.00
Greece,52233.00,15039.00,2708.00,42556.00,30739.00,30795.00,81975.00,110369.00,109106.00
Spain,525692.00,769057.00,553140.00,524770.00,543289.00,605926.00,546463.00,457403.00,437179.00
France,322000.00,334372.00,325700.00,383816.00,344161.00,402772.00,368686.00,370534.00,360310.00
Croatia,11049.00,17009.00,4468.00,2502.00,3927.00,3623.00,4691.00,7932.00,4835.00
Italy,871808.00,721718.00,644499.00,614827.00,600932.00,652512.00,578753.00,601379.00,555215.00
Cyprus,14190.00,569.00,1327.00,108.00,96.00,2.00,12.00,6.00,10.00
Latvia,2951.00,13794.00,11770.00,128.00,776.00,625.00,1423.00,1227.00,1116.00
Lithuania,12091.00,1665.00,12887.00,3629.00,4358.00,4831.00,4958.00,4601.00,4065.00
Luxembourg,1937.00,2107.00,1748.00,1993.00,2005.00,10297.00,4867.00,5904.00,3276.00
Hungary,31254.00,18490.00,14280.00,25372.00,45651.00,28690.00,21130.00,30768.00,29141.00
Malta,2776.00,2801.00,2815.00,8.00,0.00,4.00,82.00,20.00,124.00
Netherlands,559773.00,504279.00,539821.00,517443.00,500506.00,565140.00,639287.00,558513.00,458479.00
Austria,262083.00,140183.00,236638.00,161548.00,152359.00,176702.00,157399.00,185790.00,154159.00
Poland,319958.00,310496.00,230065.00,207318.00,242466.00,216349.00,216236.00,190489.00,201232.00
Portugal,98273.00,225657.00,37188.00,75023.00,114211.00,118421.00,39318.00,50875.00,90720.00
Romania,509447.00,488913.00,715539.00,528175.00,559177.00,568863.00,592703.00,626882.00,25343.00
Slovenia,2827.00,3581.00,2911.00,2954.00,2380.00,3586.00,4532.00,3966.00,4647.00
Slovakia,73560.00,40773.00,52380.00,55197.00,20186.00,21874.00,42577.00,39403.00,31522.00
Finland,980678.00,968965.00,636122.00,353358.00,234723.00,233532.00,112462.00,73131.00,102653.00
Sweden,193031.00,268620.00,332743.00,360811.00,261651.00,217815.00,252352.00,321110.00,335356.00
Iceland,750.00,NaN,446.00,121.00,121.00,0.00,59.00,34.00,19.00
Liechtenstein,NaN,NaN,38.00,29.00,18.00,10.00,7.00,31.00,0.00
Norway,232385.00,212061.00,278727.00,236292.00,326601.00,458607.00,328881.00,304992.00,346759.00
United Kingdom,1038825.00,874028.00,492121.00,206406.00,235896.00,202545.00,168663.00,178178.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,1401.00,987.00,717.00,528.00,781.00
Montenegro,NaN,NaN,NaN,NaN,703.00,461.00,319.00,193.00,190.00
North Macedonia,NaN,NaN,16.00,39.00,8.00,588.00,12.00,20.00,12.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,66711.00,44982.00,1829.00,430.00,4193.00,4922.00
Türkiye,30387.00,0.00,6305.00,14491.00,17354.00,26899.00,24718.00,2134838.00,2710037.00
Kosovo*,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00
