TIME,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),2123610000.00,2135640000.00,2116320000.00,2122170000.00,2192870000.00,2008880000.00
European Union - 28 countries (2013-2020),2359190000.00,2367930000.00,2366920000.00,2378890000.00,2458090000.00,NaN
Belgium,58348025.00,51325967.00,54623229.00,59218815.00,64247033.00,63446704.00
Bulgaria,167304235.00,160821744.00,178855892.00,119378627.00,129204764.00,114661936.00
Czechia,23081700.00,22249591.00,22412721.00,24282007.00,36599458.00,37231001.00
Denmark,15268702.00,15941701.00,19746695.00,19900753.00,20347122.00,19011323.00
Germany,330700665.00,329817582.00,346658499.00,357612746.00,361549738.00,355195948.00
Estonia,18937616.00,21809031.00,21543417.00,23945415.00,22860170.00,15861324.00
Ireland,19082947.00,11444486.00,13208708.00,13728138.00,13194645.00,15020296.00
Greece,70275369.00,72072676.00,69511798.00,71849448.00,44060369.00,26891524.00
Spain,130043590.00,109792795.00,97120447.00,114632640.00,120336127.00,89066351.00
France,345823647.00,334658283.00,315442848.00,311306277.00,331146462.00,299881736.00
Croatia,3327458.00,3575149.00,3635416.00,5223180.00,5337135.00,5698686.00
Italy,144601215.00,133006696.00,131217624.00,137307759.00,145817989.00,149616458.00
Cyprus,2358210.00,1860323.00,1962238.00,2453357.00,2206914.00,2110358.00
Latvia,1494132.00,2283413.00,2552331.00,1850219.00,1752723.00,2082359.00
Lithuania,5535390.00,5455088.00,5758794.00,5817085.00,6020492.00,5586857.00
Luxembourg,10366991.00,8333315.00,7025656.00,9914484.00,8896211.00,9093780.00
Hungary,16155158.00,15627840.00,15290458.00,14691162.00,16984639.00,15687072.00
Malta,1343448.00,1405803.00,1621912.00,1856329.00,2398626.00,3457190.00
Netherlands,115543194.00,116062091.00,127038659.00,136231186.00,138445723.00,118359692.00
Austria,44316916.00,45395971.00,53449772.00,58788612.00,63236913.00,66573760.00
Poland,152461212.00,154802405.00,167254213.00,168163983.00,160792703.00,156179458.00
Portugal,13013933.00,12692658.00,13486725.00,13854574.00,14962817.00,15698621.00
Romania,200783986.00,248467185.00,175687844.00,176742421.00,202281716.00,140482444.00
Slovenia,5864882.00,4432057.00,4519826.00,5419669.00,8168468.00,7500490.00
Slovakia,9009429.00,8012715.00,8426347.00,9969631.00,11750560.00,12316417.00
Finland,103398769.00,91235221.00,95154689.00,121503998.00,126770566.00,114912256.00
Sweden,115167650.00,153057693.00,163113001.00,136530762.00,133504448.00,147257599.00
Iceland,507017.00,529351.00,812917.00,1059426.00,1279883.00,1050554.00
Liechtenstein,311805.00,466547.00,568623.00,502377.00,437601.00,542486.00
Norway,9432997.00,10721599.00,10407209.00,10864011.00,13743241.00,13628581.00
United Kingdom,235579751.00,232535611.00,250602902.00,256720887.00,265400862.00,NaN
Bosnia and Herzegovina,NaN,4451254.00,5540108.00,6125424.00,6747253.00,6753293.00
Montenegro,NaN,1013988.00,1092710.00,1132419.00,1222676.00,1246655.00
North Macedonia,2327580.00,8472343.00,2186178.00,1424716.00,1139209.00,1483177.00
Albania,NaN,NaN,1228884.00,NaN,NaN,NaN
Serbia,33615178.00,55002438.00,49122145.00,48927994.00,51028445.00,58412405.00
Türkiye,NaN,NaN,72611913.00,75434933.00,NaN,107056368.00
Kosovo*,NaN,1166615.00,1039794.00,2855990.00,2961203.00,2591728.00
