TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),1390000.00,2320000.00,1440000.00,1930000.00,1770000.00,1680000.00,1600000.00,1930000.00,2070000.00
European Union - 28 countries (2013-2020),1830000.00,2880000.00,2020000.00,2320000.00,2170000.00,2140000.00,2020000.00,2320000.00,NaN
Belgium,75355.00,123377.00,88151.00,104549.00,96614.00,96837.00,116743.00,104323.00,76810.00
Bulgaria,2304.00,1572.00,3545.00,2339.00,2638.00,7629.00,5091.00,5506.00,6669.00
Czechia,19837.00,19686.00,26700.00,28849.00,30282.00,31666.00,34525.00,65842.00,44895.00
Denmark,5967.00,13232.00,7120.00,5812.00,6391.00,5307.00,4799.00,6217.00,7662.00
Germany,178357.00,204937.00,251977.00,279068.00,302501.00,325081.00,362598.00,390888.00,399905.00
Estonia,5046.00,3117.00,2503.00,2634.00,2533.00,2892.00,2665.00,1964.00,2227.00
Ireland,680.00,220.00,183.00,40937.00,37497.00,20463.00,45882.00,38968.00,14853.00
Greece,73212.00,73000.00,17403.00,17500.00,16299.00,15107.00,13088.00,16249.00,17631.00
Spain,440514.00,652445.00,419777.00,476063.00,361163.00,331624.00,197707.00,125952.00,116411.00
France,139660.00,124310.00,139190.00,448471.00,498503.00,483380.00,443039.00,501885.00,498806.00
Croatia,15564.00,504508.00,2707.00,4302.00,2933.00,4453.00,4074.00,5262.00,6866.00
Italy,136924.00,140895.00,142537.00,156051.00,146078.00,139408.00,140090.00,146934.00,183083.00
Cyprus,2432.00,411.00,500.00,406.00,543.00,1119.00,1131.00,1047.00,1379.00
Latvia,320.00,3553.00,7144.00,939.00,3433.00,1797.00,2856.00,2139.00,1438.00
Lithuania,452.00,779.00,904.00,1605.00,1683.00,1617.00,1716.00,2003.00,4182.00
Luxembourg,319.00,321.00,402.00,3970.00,2222.00,935.00,891.00,1052.00,1415.00
Hungary,75155.00,41531.00,32560.00,26138.00,23511.00,17145.00,19883.00,21938.00,17389.00
Malta,362.00,365.00,367.00,232.00,311.00,340.00,405.00,448.00,632.00
Netherlands,6460.00,9881.00,12960.00,17657.00,23572.00,25815.00,22986.00,22724.00,29173.00
Austria,60954.00,25822.00,64989.00,63029.00,35251.00,32728.00,40521.00,46973.00,45757.00
Poland,22854.00,29814.00,44593.00,58174.00,46312.00,53815.00,60645.00,318346.00,482519.00
Portugal,29589.00,241632.00,39405.00,40369.00,60857.00,23565.00,28318.00,38010.00,47976.00
Romania,17572.00,17190.00,43122.00,40348.00,35300.00,20829.00,19225.00,21490.00,36632.00
Slovenia,2807.00,14215.00,12114.00,14975.00,11905.00,5042.00,5551.00,5512.00,6079.00
Slovakia,32850.00,52029.00,59626.00,43895.00,18961.00,17748.00,21115.00,24372.00,13540.00
Finland,12797.00,5962.00,4520.00,5842.00,449.00,9003.00,2957.00,3130.00,3531.00
Sweden,23362.00,12262.00,12437.00,43795.00,4777.00,5536.00,5677.00,5858.00,4845.00
Iceland,503.00,NaN,180.00,160.00,124.00,294.00,348.00,326.00,412.00
Liechtenstein,NaN,NaN,2.00,5.00,0.00,2.00,0.00,0.00,0.00
Norway,0.00,0.00,0.00,0.00,733.00,341.00,1836.00,297.00,459.00
United Kingdom,443781.00,560017.00,583841.00,389380.00,392920.00,458166.00,419793.00,396471.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,1.00,0.00,1.00,1.00,32.00
Montenegro,NaN,NaN,NaN,NaN,526.00,878.00,678.00,809.00,570.00
North Macedonia,NaN,NaN,31.00,3.00,0.00,1108.00,731.00,858.00,1425.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,7.00,3556.00,3473.00,4768.00,4175.00,4234.00
Türkiye,61505.00,0.00,49960.00,60206.00,63724.00,105058.00,81444.00,89706.00,109961.00
Kosovo*,NaN,NaN,NaN,NaN,0.00,19.00,6.00,0.00,8.00
