TIME,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),33920000.00,39190000.00,43030000.00,43640000.00,45790000.00,46570000.00
European Union - 28 countries (2013-2020),34670000.00,40650000.00,45100000.00,46020000.00,48280000.00,NaN
Belgium,927364.00,787866.00,1072961.00,872037.00,845286.00,1196329.00
Bulgaria,35413.00,76389.00,472368.00,88562.00,38133.00,771583.00
Czechia,321092.00,390144.00,424267.00,411360.00,484002.00,332949.00
Denmark,445043.00,371596.00,604447.00,602474.00,586967.00,725615.00
Germany,18536720.00,21380965.00,23661342.00,24691981.00,24475398.00,25458935.00
Estonia,9242.00,18141.00,84180.00,144798.00,123183.00,123377.00
Ireland,215375.00,179484.00,135158.00,100954.00,149449.00,325676.00
Greece,608.00,614.00,3192.00,54933.00,212234.00,252025.00
Spain,816526.00,970171.00,784627.00,699718.00,823205.00,732512.00
France,2746539.00,3361118.00,3537066.00,3873705.00,4113920.00,3948501.00
Croatia,1256.00,5415.00,9347.00,25969.00,17226.00,50807.00
Italy,2394357.00,2912525.00,3564502.00,4018252.00,4053426.00,3900170.00
Cyprus,0.00,0.00,1975.00,1537.00,2551.00,2299.00
Latvia,0.00,5343.00,1026.00,2.00,1670.00,11105.00
Lithuania,1525.00,3556.00,72162.00,106698.00,158205.00,142300.00
Luxembourg,33732.00,30075.00,29219.00,33764.00,39401.00,45096.00
Hungary,225672.00,309685.00,518119.00,141244.00,153782.00,4299.00
Malta,920.00,954.00,801.00,582.00,584.00,659.00
Netherlands,3135242.00,3440595.00,3065632.00,2900651.00,3916084.00,3479331.00
Austria,1028553.00,953904.00,828992.00,721389.00,689752.00,746171.00
Poland,1397695.00,1707531.00,1303694.00,942897.00,1439183.00,1331121.00
Portugal,150307.00,262622.00,282698.00,328133.00,327527.00,310201.00
Romania,36176.00,161051.00,99078.00,94556.00,77927.00,50244.00
Slovenia,34598.00,6045.00,6017.00,4777.00,5668.00,708.00
Slovakia,218160.00,198882.00,233718.00,313116.00,314662.00,127438.00
Finland,163238.00,206013.00,412060.00,629931.00,504331.00,482207.00
Sweden,1042024.00,1445985.00,1818410.00,1833855.00,2232832.00,2016174.00
Iceland,0.00,0.00,0.00,0.00,0.00,0.00
Liechtenstein,0.00,0.00,0.00,0.00,0.00,0.00
Norway,0.00,0.00,51889.00,73418.00,122881.00,125065.00
United Kingdom,753896.00,1467585.00,2068013.00,2384516.00,2517846.00,NaN
Bosnia and Herzegovina,NaN,5302.00,618.00,1588.00,352.00,150.00
Montenegro,NaN,122.00,0.00,121.00,32.00,157.00
North Macedonia,7.00,0.00,18.00,0.00,0.00,58.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,433.00,52.00,436.00,8348.00,34937.00,153939.00
Türkiye,1848.00,2176.00,25829.00,1544.00,6902.00,6056.00
Kosovo*,NaN,0.00,0.00,0.00,0.00,0.00
