TIME,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),89470000.00,106900000.00,127470000.00,136740000.00,145360000.00,145070000.00
European Union - 28 countries (2013-2020),95700000.00,115870000.00,139860000.00,152080000.00,162310000.00,NaN
Belgium,2997778.00,2513503.00,3342163.00,3933569.00,3940447.00,4614886.00
Bulgaria,92033.00,430422.00,821119.00,1129848.00,547059.00,1725413.00
Czechia,675866.00,921767.00,982235.00,1099419.00,1248156.00,1255185.00
Denmark,949034.00,772121.00,1062148.00,1081178.00,1098085.00,1124241.00
Germany,32844330.00,38204590.00,40845742.00,42458926.00,43973886.00,45960318.00
Estonia,62579.00,183311.00,260625.00,332464.00,325411.00,309034.00
Ireland,724639.00,1268535.00,1958122.00,1523551.00,792112.00,1171737.00
Greece,157336.00,255604.00,247070.00,482905.00,1179964.00,1467374.00
Spain,7475312.00,8768874.00,13398047.00,14325883.00,17486808.00,16558009.00
France,9257598.00,9782639.00,9020121.00,11379020.00,12160864.00,10492251.00
Croatia,9696.00,36529.00,89147.00,143773.00,206176.00,305074.00
Italy,14026403.00,21420350.00,26652724.00,26520079.00,26684784.00,25271162.00
Cyprus,14540.00,14985.00,16461.00,13685.00,95230.00,111451.00
Latvia,4069.00,26165.00,69164.00,59412.00,21003.00,770433.00
Lithuania,42744.00,223663.00,441656.00,857153.00,1060046.00,1108874.00
Luxembourg,74478.00,63913.00,47102.00,106035.00,118186.00,121442.00
Hungary,580265.00,682311.00,1360181.00,1246915.00,1384946.00,1463328.00
Malta,9548.00,50409.00,50898.00,95599.00,108444.00,71473.00
Netherlands,5602274.00,5132375.00,5323638.00,4792834.00,6799746.00,6779079.00
Austria,2482663.00,2649118.00,2418526.00,2436425.00,2429215.00,2332274.00
Poland,6200745.00,7580554.00,11925686.00,13841694.00,14680989.00,14054212.00
Portugal,626146.00,666859.00,881278.00,884561.00,932056.00,902893.00
Romania,648965.00,887741.00,919571.00,820484.00,735477.00,882013.00
Slovenia,121224.00,114449.00,166591.00,74693.00,52211.00,17885.00
Slovakia,374683.00,412669.00,436431.00,637335.00,651310.00,459509.00
Finland,938175.00,588972.00,815199.00,1365185.00,1481169.00,1170275.00
Sweden,2477535.00,3248811.00,3913885.00,5094956.00,5163138.00,4566311.00
Iceland,3924.00,0.00,2231.00,7893.00,13628.00,10349.00
Liechtenstein,375.00,0.00,444.00,204.00,222.00,205.00
Norway,0.00,0.00,207705.00,267583.00,394477.00,412082.00
United Kingdom,6228955.00,8971133.00,12389824.00,15343749.00,16992777.00,NaN
Bosnia and Herzegovina,NaN,5302.00,664.00,1598.00,352.00,165.00
Montenegro,NaN,151.00,31.00,168.00,82.00,178.00
North Macedonia,10.00,0.00,434.00,142.00,1045.00,1419.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,742.00,132.00,6166.00,37318.00,74470.00,225217.00
Türkiye,NaN,NaN,463206.00,99708.00,NaN,551944.00
Kosovo*,NaN,4.00,9.00,0.00,22.00,1100.00
