TIME,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),383280000.00,368510000.00,407280000.00,431790000.00,468480000.00,448060000.00
European Union - 28 countries (2013-2020),428830000.00,414940000.00,466630000.00,494050000.00,530610000.00,NaN
Belgium,3923085.00,3177487.00,4177320.00,3021174.00,2904679.00,2815477.00
Bulgaria,49307.00,108951.00,174167.00,162673.00,74535.00,332480.00
Czechia,6933102.00,6417517.00,8076146.00,7939112.00,13415730.00,15855061.00
Denmark,3030358.00,3822724.00,6975342.00,7750229.00,6764309.00,6087665.00
Germany,104413608.00,107537293.00,117046655.00,123131444.00,129542693.00,127294940.00
Estonia,380902.00,547319.00,425138.00,757417.00,1599472.00,1670289.00
Ireland,1094612.00,1126244.00,2799029.00,2771311.00,2123689.00,4312901.00
Greece,874.00,2322.00,2193.00,375503.00,1730862.00,1884728.00
Spain,200775.00,219300.00,14861601.00,23412949.00,24729360.00,18862419.00
France,182679045.00,173494398.00,156870967.00,154620543.00,165655741.00,145874313.00
Croatia,73038.00,393279.00,328916.00,585350.00,582492.00,506588.00
Italy,15363884.00,12925582.00,11866626.00,14176272.00,14012126.00,14717097.00
Cyprus,944917.00,837672.00,477745.00,538195.00,715245.00,645110.00
Latvia,4497.00,60830.00,21573.00,15701.00,4571.00,25786.00
Lithuania,43864.00,63552.00,42072.00,78265.00,44297.00,69831.00
Luxembourg,8293672.00,6527050.00,5616889.00,7837032.00,6977894.00,7103413.00
Hungary,919925.00,1010279.00,1633381.00,1804764.00,3808105.00,3148391.00
Malta,47.00,0.00,0.00,16179.00,65.00,12980.00
Netherlands,7327270.00,7016739.00,6175477.00,7278867.00,7720984.00,7269962.00
Austria,24740592.00,26750750.00,30506098.00,34289309.00,37440449.00,40785648.00
Poland,16823208.00,10958680.00,13393112.00,16559347.00,12440140.00,20708526.00
Portugal,198673.00,264457.00,573785.00,766937.00,338234.00,421848.00
Romania,205343.00,375761.00,958642.00,285150.00,618596.00,1105647.00
Slovenia,164072.00,155261.00,547191.00,1158742.00,3022189.00,2887034.00
Slovakia,698573.00,196912.00,546280.00,668354.00,1542577.00,1176421.00
Finland,62346.00,25374.00,17502935.00,16378694.00,21789333.00,13365262.00
Sweden,4711449.00,4489475.00,5683966.00,5414690.00,8885143.00,9125163.00
Iceland,633.00,2329.00,14586.00,75172.00,120176.00,112443.00
Liechtenstein,107.00,85.00,513986.00,441544.00,387787.00,501850.00
Norway,0.00,3920.00,35982.00,42613.00,2702226.00,2749005.00
United Kingdom,45550666.00,46439109.00,59345376.00,62258665.00,62009410.00,NaN
Bosnia and Herzegovina,NaN,20771.00,29189.00,42538.00,26861.00,25473.00
Montenegro,NaN,101918.00,104678.00,130235.00,140396.00,142646.00
North Macedonia,58.00,1219.00,9828.00,1186.00,6447.00,2461.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,5727.00,256909.00,186650.00,297481.00,209297.00,222365.00
Türkiye,1312750.00,672481.00,950201.00,496429.00,364864.00,208924.00
Kosovo*,NaN,0.00,1045.00,1125.00,13507.00,45648.00
