TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),2248790000.00,2276120000.00,2144780000.00,2212900000.00,2242540000.00,2243790000.00,2258910000.00,2338230000.00,2153950000.00
European Union - 28 countries (2013-2020),2547590000.00,2567270000.00,2427000000.00,2454710000.00,2483800000.00,2506780000.00,2530980000.00,2620400000.00,NaN
Belgium,52809345.00,59351721.00,48621916.00,61345803.00,53839470.00,57965392.00,63152384.00,68187479.00,68061590.00
Bulgaria,201020467.00,162881368.00,167646316.00,167396268.00,161252166.00,179677011.00,120508475.00,129751823.00,116387350.00
Czechia,29275743.00,24745752.00,25419695.00,23757566.00,23171358.00,23394956.00,25381426.00,37847614.00,38486186.00
Denmark,12588952.00,14703138.00,15155208.00,16217736.00,16713822.00,20808843.00,20981931.00,21445206.00,20135564.00
Germany,364021937.00,363786069.00,372796355.00,363544995.00,368022172.00,387504241.00,400071672.00,405523624.00,401156266.00
Estonia,20860680.00,18932903.00,19583855.00,19000195.00,21992343.00,21804040.00,24277879.00,23185581.00,16170358.00
Ireland,24499142.00,29599175.00,22502816.00,19807586.00,12713021.00,15166830.00,15251689.00,13986757.00,16192033.00
Greece,33346962.00,51324662.00,68643963.00,70432705.00,72328280.00,69758868.00,72332353.00,45240333.00,28358897.00
Spain,160668134.00,160946629.00,149254157.00,137518902.00,118561669.00,110518494.00,128958523.00,137822935.00,105624359.00
France,296580889.00,312297824.00,345002210.00,355081245.00,344440922.00,324462969.00,322685297.00,343307326.00,310373987.00
Croatia,7208688.00,5425973.00,4172152.00,3157672.00,3611678.00,3724563.00,5366953.00,5543310.00,6003760.00
Italy,139806106.00,155025054.00,179257461.00,158627618.00,154427046.00,157870348.00,163827838.00,172502773.00,174887620.00
Cyprus,2241520.00,1248723.00,1842781.00,2372750.00,1875308.00,1978699.00,2467042.00,2302144.00,2221809.00
Latvia,1257225.00,1858551.00,1495084.00,1498200.00,2309581.00,2621495.00,1909631.00,1773726.00,2852792.00
Lithuania,7010178.00,6361109.00,6333352.00,5578134.00,5678751.00,6200450.00,6674238.00,7080538.00,6695731.00
Luxembourg,8315766.00,8378911.00,9592144.00,10441469.00,8397228.00,7072758.00,10020519.00,9014397.00,9215222.00
Hungary,24660920.00,22287476.00,16949197.00,16735423.00,16310151.00,16650639.00,15938077.00,18369585.00,17150400.00
Malta,3146062.00,2861489.00,2070391.00,1352994.00,1456213.00,1672810.00,1951928.00,2507070.00,3528663.00
Netherlands,92448121.00,99166563.00,102648605.00,121145468.00,121194466.00,132362297.00,141024020.00,145245469.00,125138771.00
Austria,53020950.00,54286603.00,56308766.00,46799579.00,48045089.00,55868298.00,61225037.00,65666128.00,68906034.00
Poland,137478449.00,153628937.00,138984638.00,158661957.00,162382959.00,179179899.00,182005677.00,175473691.00,170233670.00
Portugal,29317295.00,34952771.00,16882923.00,13640079.00,13359517.00,14368003.00,14739135.00,15894873.00,16601514.00
Romania,369300408.00,344356921.00,189138507.00,201432951.00,249354926.00,176607415.00,177562905.00,203017193.00,141364457.00
Slovenia,5770505.00,6035829.00,5038401.00,5986106.00,4546506.00,4686417.00,5494362.00,8220679.00,7518375.00
Slovakia,10668411.00,14501495.00,11472008.00,9384112.00,8425384.00,8862778.00,10606966.00,12401870.00,12775926.00
Finland,69708476.00,72205476.00,81792854.00,104336944.00,91824193.00,95969888.00,122869183.00,128251735.00,116082531.00
Sweden,91759469.00,94971307.00,86168590.00,117645185.00,156306504.00,167026886.00,141625718.00,138667585.00,151823910.00
Iceland,501426.00,NaN,772584.00,510941.00,529351.00,815148.00,1067319.00,1293511.00,1060903.00
Liechtenstein,NaN,NaN,383337.00,312180.00,466547.00,569067.00,502581.00,437823.00,542691.00
Norway,7453565.00,9913286.00,10286643.00,9432997.00,10721599.00,10614914.00,11131594.00,14137718.00,14040663.00
United Kingdom,298798846.00,291147402.00,282222127.00,241808706.00,241506743.00,262992726.00,272064636.00,282393639.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,4456556.00,5540772.00,6127022.00,6747605.00,6753458.00
Montenegro,NaN,NaN,NaN,NaN,1014139.00,1092741.00,1132587.00,1222758.00,1246833.00
North Macedonia,NaN,NaN,1362466.00,2327590.00,8472343.00,2186612.00,1424859.00,1140253.00,1484596.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,33615918.00,55002570.00,49128311.00,48965314.00,51102914.00,58637622.00
Türkiye,58820312.00,46091628.00,64764502.00,63540624.00,67383777.00,73075119.00,75534641.00,97294071.00,107608312.00
Kosovo*,NaN,NaN,NaN,NaN,1166619.00,1039803.00,2855990.00,2961225.00,2592828.00
