TIME,2004,2006,2008,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),12150000.00,12160000.00,12750000.00,10420000.00,10480000.00,11580000.00,12570000.00,12290000.00,3030000.00
European Union - 28 countries (2013-2020),12300000.00,12500000.00,12860000.00,10470000.00,10580000.00,11760000.00,12700000.00,12460000.00,NaN
Belgium,363734.00,394618.00,419399.00,276743.00,74773.00,68574.00,610335.00,80980.00,98337.00
Bulgaria,242475.00,212185.00,142636.00,84887.00,74583.00,80326.00,119654.00,14720.00,118169.00
Czechia,265328.00,191549.00,192695.00,141777.00,123813.00,50292.00,70958.00,61668.00,78086.00
Denmark,35118.00,49080.00,66248.00,3042.00,2721.00,3111.00,470.00,5293.00,20678.00
Germany,1634553.00,2395148.00,2533523.00,625137.00,677796.00,754211.00,800914.00,800224.00,900895.00
Estonia,6069679.00,5389878.00,5957209.00,7378001.00,7543098.00,8684445.00,8892698.00,9257326.00,61764.00
Ireland,599.00,309.00,1914.00,35682.00,4967.00,7045.00,81669.00,47.00,2749.00
Greece,30593.00,39401.00,41516.00,57933.00,27971.00,39967.00,72389.00,87849.00,22844.00
Spain,300344.00,398691.00,338031.00,358022.00,324532.00,299824.00,309504.00,284835.00,241257.00
France,1192170.00,1075186.00,986950.00,251527.00,242954.00,245714.00,236099.00,260610.00,190914.00
Croatia,4783.00,4762.00,1814.00,1802.00,3109.00,3773.00,2417.00,4836.00,2199.00
Italy,673690.00,701664.00,761369.00,471028.00,522299.00,548299.00,526679.00,545499.00,462324.00
Cyprus,89.00,736.00,846.00,906.00,865.00,278.00,265.00,90.00,163.00
Latvia,1395.00,1873.00,1428.00,1295.00,7556.00,152.00,0.00,0.00,0.00
Lithuania,548.00,365.00,117.00,210.00,368.00,1301.00,478.00,459.00,202.00
Luxembourg,48230.00,49180.00,38420.00,45077.00,43750.00,43755.00,39320.00,48034.00,48242.00
Hungary,182714.00,83395.00,63855.00,48673.00,22847.00,60494.00,27713.00,37588.00,3777.00
Malta,715.00,721.00,725.00,109.00,1534.00,3797.00,2581.00,134.00,0.00
Netherlands,213670.00,209099.00,199441.00,51099.00,39557.00,52932.00,45459.00,45819.00,41514.00
Austria,166730.00,190131.00,236385.00,116226.00,133860.00,179580.00,185748.00,161492.00,109412.00
Poland,185962.00,260124.00,195158.00,191725.00,340531.00,210336.00,238643.00,230174.00,247844.00
Portugal,55717.00,20102.00,24827.00,44309.00,46961.00,40673.00,41642.00,82262.00,92387.00
Romania,94677.00,44214.00,48532.00,60526.00,22819.00,18474.00,16712.00,22368.00,17297.00
Slovenia,14360.00,22119.00,17271.00,9050.00,10622.00,17454.00,18244.00,19426.00,23514.00
Slovakia,63700.00,59885.00,53666.00,44234.00,41259.00,20551.00,33479.00,19479.00,38385.00
Finland,61609.00,63138.00,68749.00,42656.00,43152.00,49721.00,47468.00,50357.00,55807.00
Sweden,247453.00,295916.00,351305.00,82036.00,102098.00,90785.00,146616.00,171612.00,146857.00
Iceland,0.00,NaN,0.00,2912.00,2923.00,14293.00,7450.00,4711.00,4487.00
Liechtenstein,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,138754.00,172569.00,176715.00,177895.00,91670.00,109398.00,118979.00,110878.00,113061.00
United Kingdom,146936.00,344800.00,112179.00,42181.00,101625.00,179860.00,135540.00,168644.00,NaN
Bosnia and Herzegovina,NaN,NaN,NaN,NaN,936000.00,46.00,3426.00,3151.00,1.00
Montenegro,NaN,NaN,NaN,NaN,370.00,533.00,662.00,688.00,602.00
North Macedonia,NaN,NaN,5392.00,6019.00,4801.00,1.00,0.00,2910.00,2077.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,NaN,NaN,NaN,19392.00,13348.00,11363.00,31412.00,31568.00,17275.00
Türkiye,215687.00,153.00,145346.00,107759.00,153401.00,304026.00,536882.00,725477.00,480560.00
Kosovo*,NaN,NaN,NaN,NaN,51.00,0.00,0.00,0.00,0.00
