TIME,2010,2012,2014,2016,2018,2020
European Union - 27 countries (from 2020),4870000.00,8700000.00,10180000.00,8350000.00,9110000.00,9360000.00
European Union - 28 countries (2013-2020),6170000.00,9740000.00,11390000.00,9300000.00,10200000.00,NaN
Belgium,553359.00,285984.00,718863.00,855289.00,880179.00,1062244.00
Bulgaria,782.00,31485.00,64157.00,14709.00,58419.00,46330.00
Czechia,59333.00,179633.00,65759.00,63983.00,110299.00,92702.00
Denmark,13862.00,23310.00,5645.00,7300.00,7199.00,15012.00
Germany,335614.00,427983.00,367680.00,432850.00,550185.00,611182.00
Estonia,17845.00,21173.00,52237.00,22472.00,19164.00,70102.00
Ireland,8114.00,599198.00,442708.00,357423.00,74273.00,92280.00
Greece,2033.00,1643.00,2837.00,3945.00,276892.00,324873.00
Spain,578842.00,293629.00,253837.00,186107.00,231395.00,263945.00
France,318201.00,564708.00,463160.00,476887.00,606412.00,765274.00
Croatia,28.00,1879.00,5201.00,6489.00,5023.00,4312.00
Italy,1661525.00,4980368.00,6657948.00,4817167.00,5006550.00,4583392.00
Cyprus,12472.00,12408.00,7027.00,9535.00,14084.00,17830.00
Latvia,0.00,9927.00,24487.00,54951.00,6394.00,133498.00
Lithuania,5702.00,869.00,820.00,943.00,678.00,4217.00
Luxembourg,100.00,65.00,30.00,70.00,348.00,8994.00
Hungary,206885.00,144791.00,138265.00,157982.00,244141.00,347028.00
Malta,135.00,4542.00,3602.00,6584.00,9187.00,3773.00
Netherlands,118857.00,310968.00,233959.00,240921.00,294837.00,250938.00
Austria,59156.00,84636.00,89933.00,99583.00,108489.00,129035.00
Poland,139338.00,221838.00,33141.00,46327.00,43452.00,28797.00
Portugal,318906.00,74698.00,158947.00,94153.00,79786.00,35790.00
Romania,11244.00,19662.00,8155.00,46042.00,55226.00,19579.00
Slovenia,70101.00,27594.00,8615.00,3512.00,3485.00,2257.00
Slovakia,132913.00,136134.00,163094.00,181650.00,158977.00,121938.00
Finland,91484.00,89902.00,81231.00,72904.00,111311.00,181966.00
Sweden,157930.00,146827.00,132730.00,95114.00,154898.00,137861.00
Iceland,33.00,0.00,0.00,0.00,87.00,0.00
Liechtenstein,0.00,0.00,284.00,90.00,33.00,30.00
Norway,0.00,0.00,0.00,0.00,904.00,318.00
United Kingdom,1299479.00,1044715.00,1209787.00,944946.00,1079641.00,NaN
Bosnia and Herzegovina,NaN,0.00,0.00,10.00,0.00,0.00
Montenegro,NaN,0.00,0.00,0.00,15.00,17.00
North Macedonia,0.00,0.00,229.00,50.00,45.00,0.00
Albania,NaN,NaN,NaN,NaN,NaN,NaN
Serbia,38.00,74.00,200.00,240.00,180.00,216.00
Türkiye,24920.00,6002.00,5988.00,71333.00,391702.00,521396.00
Kosovo*,NaN,1.00,0.00,0.00,1.00,0.00
