,2020,Year,Soil contamination in tonnes
0,448060000.0,2010,383280000.0
1,530610000.0,2010,428830000.0
2,2815477.0,2010,3923085.0
3,332480.0,2010,49307.0
4,15855061.0,2010,6933102.0
5,6087665.0,2010,3030358.0
6,127294940.0,2010,104413608.0
7,1670289.0,2010,380902.0
8,4312901.0,2010,1094612.0
9,1884728.0,2010,874.0
10,18862419.0,2010,200775.0
11,145874313.0,2010,182679045.0
12,506588.0,2010,73038.0
13,14717097.0,2010,15363884.0
14,645110.0,2010,944917.0
15,25786.0,2010,4497.0
16,69831.0,2010,43864.0
17,7103413.0,2010,8293672.0
18,3148391.0,2010,919925.0
19,56.0,2010,47.0
20,7269962.0,2010,7327270.0
21,40785648.0,2010,24740592.0
22,20708526.0,2010,16823208.0
23,421848.0,2010,198673.0
24,1105647.0,2010,205343.0
25,2887034.0,2010,164072.0
26,1176421.0,2010,698573.0
27,13365262.0,2010,62346.0
28,9125163.0,2010,4711449.0
29,112443.0,2010,633.0
30,501850.0,2010,107.0
31,2749005.0,2010,3920.0
32,62009410.0,2010,45550666.0
33,25473.0,2010,28966.0
34,142646.0,2010,101918.0
35,2461.0,2010,58.0
36,222365.0,2010,5727.0
37,208924.0,2010,1312750.0
38,45648.0,2010,1045.0
39,448060000.0,2012,368510000.0
40,530610000.0,2012,414940000.0
41,2815477.0,2012,3177487.0
42,332480.0,2012,108951.0
43,15855061.0,2012,6417517.0
44,6087665.0,2012,3822724.0
45,127294940.0,2012,107537293.0
46,1670289.0,2012,547319.0
47,4312901.0,2012,1126244.0
48,1884728.0,2012,2322.0
49,18862419.0,2012,219300.0
50,145874313.0,2012,173494398.0
51,506588.0,2012,393279.0
52,14717097.0,2012,12925582.0
53,645110.0,2012,837672.0
54,25786.0,2012,60830.0
55,69831.0,2012,63552.0
56,7103413.0,2012,6527050.0
57,3148391.0,2012,1010279.0
58,56.0,2012,56.0
59,7269962.0,2012,7016739.0
60,40785648.0,2012,26750750.0
61,20708526.0,2012,10958680.0
62,421848.0,2012,264457.0
63,1105647.0,2012,375761.0
64,2887034.0,2012,155261.0
65,1176421.0,2012,196912.0
66,13365262.0,2012,25374.0
67,9125163.0,2012,4489475.0
68,112443.0,2012,2329.0
69,501850.0,2012,85.0
70,2749005.0,2012,3920.0
71,62009410.0,2012,46439109.0
72,25473.0,2012,20771.0
73,142646.0,2012,101918.0
74,2461.0,2012,1219.0
75,222365.0,2012,256909.0
76,208924.0,2012,672481.0
77,45648.0,2012,1045.0
78,448060000.0,2014,407280000.0
79,530610000.0,2014,466630000.0
80,2815477.0,2014,4177320.0
81,332480.0,2014,174167.0
82,15855061.0,2014,8076146.0
83,6087665.0,2014,6975342.0
84,127294940.0,2014,117046655.0
85,1670289.0,2014,425138.0
86,4312901.0,2014,2799029.0
87,1884728.0,2014,2193.0
88,18862419.0,2014,14861601.0
89,145874313.0,2014,156870967.0
90,506588.0,2014,328916.0
91,14717097.0,2014,11866626.0
92,645110.0,2014,477745.0
93,25786.0,2014,21573.0
94,69831.0,2014,42072.0
95,7103413.0,2014,5616889.0
96,3148391.0,2014,1633381.0
97,56.0,2014,56.0
98,7269962.0,2014,6175477.0
99,40785648.0,2014,30506098.0
100,20708526.0,2014,13393112.0
101,421848.0,2014,573785.0
102,1105647.0,2014,958642.0
103,2887034.0,2014,547191.0
104,1176421.0,2014,546280.0
105,13365262.0,2014,17502935.0
106,9125163.0,2014,5683966.0
107,112443.0,2014,14586.0
108,501850.0,2014,513986.0
109,2749005.0,2014,35982.0
110,62009410.0,2014,59345376.0
111,25473.0,2014,29189.0
112,142646.0,2014,104678.0
113,2461.0,2014,9828.0
114,222365.0,2014,186650.0
115,208924.0,2014,950201.0
116,45648.0,2014,1045.0
117,448060000.0,2016,431790000.0
118,530610000.0,2016,494050000.0
119,2815477.0,2016,3021174.0
120,332480.0,2016,162673.0
121,15855061.0,2016,7939112.0
122,6087665.0,2016,7750229.0
123,127294940.0,2016,123131444.0
124,1670289.0,2016,757417.0
125,4312901.0,2016,2771311.0
126,1884728.0,2016,375503.0
127,18862419.0,2016,23412949.0
128,145874313.0,2016,154620543.0
129,506588.0,2016,585350.0
130,14717097.0,2016,14176272.0
131,645110.0,2016,538195.0
132,25786.0,2016,15701.0
133,69831.0,2016,78265.0
134,7103413.0,2016,7837032.0
135,3148391.0,2016,1804764.0
136,56.0,2016,56.0
137,7269962.0,2016,7278867.0
138,40785648.0,2016,34289309.0
139,20708526.0,2016,16559347.0
140,421848.0,2016,766937.0
141,1105647.0,2016,285150.0
142,2887034.0,2016,1158742.0
143,1176421.0,2016,668354.0
144,13365262.0,2016,16378694.0
145,9125163.0,2016,5414690.0
146,112443.0,2016,75172.0
147,501850.0,2016,441544.0
148,2749005.0,2016,42613.0
149,62009410.0,2016,62258665.0
150,25473.0,2016,42538.0
151,142646.0,2016,130235.0
152,2461.0,2016,1186.0
153,222365.0,2016,297481.0
154,208924.0,2016,496429.0
155,45648.0,2016,1125.0
156,448060000.0,2018,468480000.0
157,530610000.0,2018,530610000.0
158,2815477.0,2018,2904679.0
159,332480.0,2018,74535.0
160,15855061.0,2018,13415730.0
161,6087665.0,2018,6764309.0
162,127294940.0,2018,129542693.0
163,1670289.0,2018,1599472.0
164,4312901.0,2018,2123689.0
165,1884728.0,2018,1730862.0
166,18862419.0,2018,24729360.0
167,145874313.0,2018,165655741.0
168,506588.0,2018,582492.0
169,14717097.0,2018,14012126.0
170,645110.0,2018,715245.0
171,25786.0,2018,4571.0
172,69831.0,2018,44297.0
173,7103413.0,2018,6977894.0
174,3148391.0,2018,3808105.0
175,56.0,2018,65.0
176,7269962.0,2018,7720984.0
177,40785648.0,2018,37440449.0
178,20708526.0,2018,12440140.0
179,421848.0,2018,338234.0
180,1105647.0,2018,618596.0
181,2887034.0,2018,3022189.0
182,1176421.0,2018,1542577.0
183,13365262.0,2018,21789333.0
184,9125163.0,2018,8885143.0
185,112443.0,2018,120176.0
186,501850.0,2018,387787.0
187,2749005.0,2018,2702226.0
188,62009410.0,2018,62009410.0
189,25473.0,2018,26861.0
190,142646.0,2018,140396.0
191,2461.0,2018,6447.0
192,222365.0,2018,209297.0
193,208924.0,2018,364864.0
194,45648.0,2018,13507.0
